
> jingxin@0.1.0 corpus:gen
> tsx scripts/gen-corpus.ts --resume

Generated A091n1057: juans=2 blocks=1287
Generated A097n1267: juans=1 blocks=1
Generated A098n1267: juans=11 blocks=13
Generated A110n1490: juans=2 blocks=14
Generated A111n1493: juans=9 blocks=597
Generated A112n1493: juans=7 blocks=403
Generated A112n1494: juans=14 blocks=351
Generated A114n1504: juans=3 blocks=165
Generated A114n1505: juans=2 blocks=74
Generated A119n1548: juans=1 blocks=86
Generated A120n1561: juans=18 blocks=12127
Generated A121n1561: juans=5 blocks=4217
Generated B01n0001: juans=9 blocks=325
Generated B02n0001: juans=11 blocks=134
Generated B03n0002: juans=46 blocks=6624
Generated B04n0002: juans=39 blocks=5565
Generated B05n0002: juans=35 blocks=5381
Generated B06n0003: juans=2 blocks=1336
Generated B06n0004: juans=1 blocks=698
Generated B06n0005: juans=2 blocks=1683
Generated B06n0006: juans=1 blocks=2097
Generated B06n0007: juans=1 blocks=1084
Generated B06n0008: juans=1 blocks=577
Generated B06n0009: juans=30 blocks=1433
Generated B07n0010: juans=1 blocks=18
Generated B07n0011: juans=1 blocks=28
Generated B07n0012: juans=1 blocks=22
Generated B07n0013: juans=1 blocks=13
Generated B07n0014: juans=1 blocks=72
Generated B07n0015: juans=1 blocks=17
Generated B07n0016: juans=1 blocks=14
Generated B07n0017: juans=1 blocks=472
Generated B07n0018: juans=1 blocks=745
Generated B07n0019: juans=1 blocks=80
Generated B07n0020: juans=1 blocks=64
Generated B07n0021: juans=1 blocks=164
Generated B07n0022: juans=1 blocks=44
Generated B07n0023: juans=5 blocks=1942
Generated B07n0024: juans=1 blocks=737
Generated B07n0025: juans=1 blocks=375
Generated B08n0026: juans=2 blocks=4479
Generated B08n0027: juans=2 blocks=788
Generated B08n0028: juans=1 blocks=401
Generated B08n0029: juans=5 blocks=569
Generated B09n0030: juans=1 blocks=86
Generated B09n0031: juans=4 blocks=497
Generated B09n0032: juans=1 blocks=275
Generated B09n0033: juans=1 blocks=23
Generated B09n0034: juans=1 blocks=12
Generated B09n0035: juans=1 blocks=213
Progress 50/4602 blocks=58422 skipped=0 errors=0
Generated B09n0036: juans=1 blocks=44
Generated B09n0037: juans=1 blocks=418
Generated B09n0038: juans=1 blocks=141
Generated B09n0039: juans=1 blocks=515
Generated B09n0040: juans=6 blocks=481
Generated B09n0041: juans=1 blocks=79
Generated B09n0042: juans=1 blocks=110
Generated B09n0043: juans=9 blocks=1626
Generated B09n0044: juans=14 blocks=1433
Generated B09n0045: juans=1 blocks=627
Generated B09n0046: juans=1 blocks=45
Generated B09n0047: juans=1 blocks=390
Generated B10n0048: juans=5 blocks=274
Generated B10n0049: juans=1 blocks=10
Generated B10n0050: juans=1 blocks=200
Generated B10n0051: juans=1 blocks=37
Generated B10n0052: juans=1 blocks=8
Generated B10n0053: juans=1 blocks=1
Generated B10n0054: juans=1 blocks=1
Generated B10n0055: juans=1 blocks=11
Generated B10n0056: juans=1 blocks=76
Generated B10n0057: juans=5 blocks=386
Generated B10n0058: juans=1 blocks=343
Generated B10n0059: juans=1 blocks=193
Generated B10n0060: juans=1 blocks=38
Generated B10n0061: juans=1 blocks=120
Generated B10n0062: juans=1 blocks=32
Generated B10n0063: juans=1 blocks=88
Generated B10n0064: juans=1 blocks=94
Generated B10n0065: juans=6 blocks=617
Generated B10n0066: juans=6 blocks=369
Generated B10n0067: juans=24 blocks=1192
Generated B10n0068: juans=22 blocks=1049
