
> jingxin@0.1.0 corpus:gen
> tsx scripts/gen-corpus.ts --resume

Progress 100/4602 skipped=100 errors=0
Progress 200/4602 skipped=199 errors=0
Progress 300/4602 skipped=299 errors=0
Progress 400/4602 skipped=399 errors=0
Progress 500/4602 skipped=499 errors=0
Progress 600/4602 skipped=599 errors=0
Progress 700/4602 skipped=698 errors=0
Progress 800/4602 skipped=798 errors=0
Progress 900/4602 skipped=898 errors=0
Progress 1000/4602 skipped=998 errors=0
Progress 1100/4602 skipped=1098 errors=0
Progress 1200/4602 skipped=1198 errors=0
Progress 1300/4602 skipped=1298 errors=0
Progress 1400/4602 skipped=1398 errors=0
Progress 1500/4602 skipped=1498 errors=0
Progress 1600/4602 skipped=1598 errors=0
Progress 1700/4602 skipped=1698 errors=0
Progress 1800/4602 skipped=1798 errors=0
Progress 1900/4602 skipped=1898 errors=0
Progress 2000/4602 skipped=1998 errors=0
Progress 2100/4602 skipped=2098 errors=0
Progress 2200/4602 skipped=2198 errors=0
Progress 2300/4602 skipped=2298 errors=0
Progress 2400/4602 skipped=2398 errors=0
Progress 2500/4602 skipped=2498 errors=0
Progress 2600/4602 skipped=2598 errors=0
Progress 2700/4602 skipped=2698 errors=0
Progress 2800/4602 skipped=2798 errors=0
Progress 2900/4602 skipped=2898 errors=0
Progress 3000/4602 skipped=2996 errors=0
Progress 3100/4602 skipped=3096 errors=0
Progress 3200/4602 skipped=3194 errors=0
Progress 3300/4602 skipped=3292 errors=0
Progress 3400/4602 skipped=3392 errors=0
Progress 3500/4602 skipped=3490 errors=0
Progress 3600/4602 skipped=3586 errors=0
Progress 3700/4602 skipped=3681 errors=0
Progress 3800/4602 skipped=3781 errors=0
Progress 3900/4602 skipped=3877 errors=0
Progress 4000/4602 skipped=3977 errors=0
Progress 4100/4602 skipped=4077 errors=0
Progress 4200/4602 skipped=4177 errors=0
Progress 4300/4602 skipped=4277 errors=0
Progress 4400/4602 skipped=4377 errors=0
Progress 4500/4602 skipped=4477 errors=0
Progress 4600/4602 skipped=4577 errors=0
Done: juanFiles=0 blocks=0 skipped=4579 errors=0 corpusRoot=corpus
Progress 3000/4602 skipped=2996 errors=0
Progress 3100/4602 skipped=3096 errors=0
Progress 3200/4602 skipped=3194 errors=0
Progress 3300/4602 skipped=3292 errors=0
Progress 3400/4602 skipped=3392 errors=0
Progress 3500/4602 skipped=3490 errors=0
Progress 3600/4602 skipped=3586 errors=0
Progress 3700/4602 skipped=3681 errors=0
Progress 3800/4602 skipped=3781 errors=0
Progress 3900/4602 skipped=3877 errors=0
Progress 4000/4602 skipped=3977 errors=0
Progress 4100/4602 skipped=4077 errors=0
Progress 4200/4602 skipped=4177 errors=0
Progress 4300/4602 skipped=4277 errors=0
Progress 4400/4602 skipped=4377 errors=0
Progress 4500/4602 skipped=4477 errors=0
Progress 4600/4602 skipped=4577 errors=0
Done: juanFiles=0 blocks=0 skipped=4579 errors=0 corpusRoot=corpus
